StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
87361,Dialog,SMITH,"""Armor and weapons, mostly... though weapons are my specialty. Plus, I can upgrade existing weapons. My prices are quite reasonable considering the circumstances.""","""주로 갑옷과 무기... 하지만 무기가 전문이야. 그리고 기존 무기도 강화할 수 있어. 상황을 고려하면 가격은 꽤 합리적이지.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87362,Dialog,SMITH,"""I'm not doing this out of greed. I need the gold to fuel my magical furnace. Gold makes the enchanted fires burn clean and hot. Without the gold I can't forge or upgrade weapons.""","""욕심 때문에 이러는 게 아냐. 마법 용광로를 가동하려면 금화가 필요해. 금화가 있어야 마법 불꽃이 깨끗하고 뜨겁게 타거든. 금화 없이는 무기를 제작하거나 강화할 수 없어.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,x2_smithgoldx,,,,0,0
87363,Dialog,SMITH,"""I haven't really been here long enough to learn anything. I've been concentrating on restocking my inventory and upgrading weapons for those who need them.""","""여기 온 지 오래되지 않아서 아는 게 별로 없어. 재고 보충하고 필요한 사람들 무기 강화하는 데 집중했거든.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87364,Dialog,SMITH,"""Questions aren't really my strength, but I'll do my best to help you out.""","""질문에 답하는 건 내 장기가 아니지만, 최선을 다해 도와줄게.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87365,Dialog,SMITH,"""Nothing more than what you've already heard, I'm sure. I hear she used to be one of the Matron Mothers from Menzoberranzan, but that might just be a rumor.""","""네가 이미 들은 것 이상은 없을 거야. 멘조베란잔의 대모 중 한 명이었다고 들었는데, 그냥 소문일 수도 있어.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87366,Dialog,SMITH,"""All I know is that her army will crush us all if we don't find a way to stay united against her. I just hope House Maeviir is smart enough to realize this.""","""내가 아는 건 우리가 단결해서 그녀에게 맞서지 않으면 그녀의 군대가 우리 모두를 짓밟을 거라는 것뿐이야. 마에비르 가문이 이걸 깨달을 만큼 영리하길 바랄 뿐이야.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87367,Dialog,SMITH,"""Well, it used to be the ancestral home of House Maeviir. But since we moved in - I mean the Seer and her followers - it's more like a refugee camp.""","""글쎄, 원래 마에비르 가문의 조상 대대로의 집이었어. 하지만 우리가 - 그러니까 선견자와 추종자들이 - 들어온 이후로는 난민 캠프에 더 가깝지.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87368,Dialog,SMITH,"""As you can imagine, there's a lot of tension here. Most drow don't like the followers of Eilistraee, and House Maeviir is no exception. They don't have much choice, though.""","""상상할 수 있겠지만, 여기 긴장감이 많아. 대부분의 드로우는 에일리스트레이 추종자들을 싫어하고, 마에비르 가문도 예외는 아니야. 하지만 그들도 선택의 여지가 별로 없지.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87369,Dialog,SMITH,"""If we don't band together, the Valsharess will sweep us all away. If we can stay united, then at least we'll have a chance. Or so the Seer says.""","""뭉치지 않으면 발샤레스가 우리 모두를 쓸어버릴 거야. 단결할 수 있다면 적어도 기회는 있어. 선견자의 말에 따르면 말이야.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87370,Dialog,SMITH,"""I came here with the Seer, but I'm not a follower of Eilistraee. Not everyone who follows the Seer shares her religious convictions.""","""선견자와 함께 왔지만, 난 에일리스트레이 신자가 아니야. 선견자를 따르는 사람 모두가 그녀의 종교적 신념을 공유하는 건 아니거든.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87371,Dialog,SMITH,"""Some of us are just drow fleeing the Valsharess. Several of the powerful drow Houses have been all but wiped out by her army, leaving the handful of survivors to get by however they can.""","""우리 중 일부는 그냥 발샤레스에게서 도망치는 드로우일 뿐이야. 강력한 드로우 가문 여럿이 그녀의 군대에 거의 전멸당했고, 한 줌의 생존자들은 어떻게든 살아남고 있어.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87372,Dialog,SMITH,"""My story's nothing special. I started learning my craft at a young age, and my skills quickly brought me to the attention of Matron Usala of House Zarosta in Ched Nasad.""","""내 이야기는 특별할 것 없어. 어릴 때 기술을 배우기 시작했고, 내 실력이 빠르게 체드 나사드의 자로스타 가문 대모 우살라의 눈에 띄었지.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87373,Dialog,SMITH,"""But when the Valsharess first came to power, House Zarosta refused to join her... a big mistake. The Valsharess wiped out the entire house. For all I know, I'm the only survivor.""","""하지만 발샤레스가 처음 권력을 잡았을 때, 자로스타 가문은 그녀에게 합류하길 거부했어... 큰 실수였지. 발샤레스가 가문 전체를 전멸시켰어. 아마 내가 유일한 생존자일 거야.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87374,Dialog,SMITH,"""During my flight from Ched Nasad, I encountered some followers of Eilistraee. They took pity on me and brought me to the Seer, and I've been part of her entourage ever since.""","""체드 나사드에서 도망치는 중에 에일리스트레이 추종자들을 만났어. 그들이 나를 불쌍히 여기고 선견자에게 데려다줬고, 그 이후로 그녀의 일행이 됐지.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87375,Dialog,SMITH,"""Didn't I tell you I'm a master craftsman? I can take any weapon and make it better, if you give me enough gold.""","""내가 명장이라고 말 안 했어? 금화만 충분히 주면 어떤 무기든 더 좋게 만들 수 있어.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87376,Dialog,SMITH,"""My work is somewhat different from the smiths who pound weapons with giant hammers. I'm a craftsman, an artist. I use my skill and powerful magic instead of brute force.""","""내 작업은 거대한 망치로 무기를 두드리는 대장장이들과는 좀 달라. 난 장인이자 예술가야. 무식한 힘 대신 기술과 강력한 마법을 쓰지.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,x2_smithforgex,,,,0,0
87377,Dialog,SMITH,"""Just bring me a weapon, and I can use the magic of my forge to improve it. I can add enchantments. I can imbue it with the powers of fire, ice or lightning. Whatever you need, I can do.""","""무기만 가져와, 내 대장간의 마법으로 개선해줄 수 있어. 마법 부여를 추가하거나, 화염, 냉기, 번개의 힘을 불어넣을 수 있지. 필요한 건 뭐든 해줄 수 있어.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87378,Dialog,SMITH,"""I see you don't have a weapon ready in your hand right now. If you want your weapon upgraded, you'll have to get it out.""","""지금 손에 무기가 없군. 무기 강화를 원하면 꺼내야 해.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87379,Dialog,SMITH,"""I see you've got a weapon right there in your hand. Would you like me to upgrade it?""","""손에 무기가 있네. 강화해줄까?""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,x2_act_ws_wtoken,,,,0,0
87380,Dialog,SMITH,"""Not a problem. What would like me to do to your <CUSTOM9809>?""","""문제없어. <CUSTOM9809>에 뭘 해줄까?""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87381,Dialog,SMITH,"""Your <CUSTOM9809> already has that property. I'd just be wasting your gold.""","""네 <CUSTOM9809>엔 이미 그 속성이 있어. 금화만 낭비하게 될 거야.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87382,Dialog,SMITH,"""Your <CUSTOM9809> already has that property. I'd just be wasting your gold.""","""네 <CUSTOM9809>엔 이미 그 속성이 있어. 금화만 낭비하게 될 거야.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87383,Dialog,SMITH,"""Your <CUSTOM9809> already has that property. I'd just be wasting your gold.""","""네 <CUSTOM9809>엔 이미 그 속성이 있어. 금화만 낭비하게 될 거야.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87384,Dialog,SMITH,"""Your <CUSTOM9809> already has that property. I'd just be wasting your gold.""","""네 <CUSTOM9809>엔 이미 그 속성이 있어. 금화만 낭비하게 될 거야.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87385,Dialog,SMITH,"""Not a problem. What would like me to do to your <CUSTOM9809>?""","""문제없어. <CUSTOM9809>에 뭘 해줄까?""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87386,Dialog,SMITH,"""Is there anything else I can do for you?""","""더 해줄 게 있어?""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87387,Dialog,SMITH,"""Your <CUSTOM9809> already has that property. I'd just be wasting your gold.""","""네 <CUSTOM9809>엔 이미 그 속성이 있어. 금화만 낭비하게 될 거야.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87388,Dialog,SMITH,"""Your <CUSTOM9809> already has that property. I'd just be wasting your gold.""","""네 <CUSTOM9809>엔 이미 그 속성이 있어. 금화만 낭비하게 될 거야.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87389,Dialog,SMITH,"""Your <CUSTOM9809> already has that property. I'd just be wasting your gold.""","""네 <CUSTOM9809>엔 이미 그 속성이 있어. 금화만 낭비하게 될 거야.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87390,Dialog,SMITH,"""Your <CUSTOM9809> already has that property. I'd just be wasting your gold.""","""네 <CUSTOM9809>엔 이미 그 속성이 있어. 금화만 낭비하게 될 거야.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87391,Dialog,SMITH,"""Your <CUSTOM9809> already has that property. I'd just be wasting your gold.""","""네 <CUSTOM9809>엔 이미 그 속성이 있어. 금화만 낭비하게 될 거야.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87392,Dialog,SMITH,"""Your <CUSTOM9809> already has a damage upgrade. I'd just be wasting your gold.""","""네 <CUSTOM9809>엔 이미 피해 강화가 되어 있어. 금화만 낭비하게 될 거야.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87393,Dialog,SMITH,"""Your <CUSTOM9809> already has a damage upgrade. I'd just be wasting your gold.""","""네 <CUSTOM9809>엔 이미 피해 강화가 되어 있어. 금화만 낭비하게 될 거야.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87394,Dialog,SMITH,"""Your <CUSTOM9809> already has a damage upgrade. I'd just be wasting your gold.""","""네 <CUSTOM9809>엔 이미 피해 강화가 되어 있어. 금화만 낭비하게 될 거야.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87395,Dialog,SMITH,"""Sorry, but it looks like you don't have enough gold. I need the gold to fuel the fires of my magic furnace. Only gold burns hot and clean enough for me to work my magic.""","""미안하지만 금화가 부족한 것 같아. 마법 용광로의 불을 피우려면 금화가 필요해. 금화만이 내 마법을 쓸 만큼 뜨겁고 깨끗하게 타거든.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87396,Dialog,SMITH,"""Behold a master at work.""","""명장의 작업을 지켜봐.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87397,Dialog,SMITH,"""Your <CUSTOM9809> already has a damage upgrade. I'd just be wasting your gold.""","""네 <CUSTOM9809>엔 이미 피해 강화가 되어 있어. 금화만 낭비하게 될 거야.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87398,Dialog,SMITH,"""Sorry, but it looks like you don't have enough gold. I need the gold to fuel the fires of my magic furnace. Only gold burns hot and clean enough for me to work my magic.""","""미안하지만 금화가 부족한 것 같아. 마법 용광로의 불을 피우려면 금화가 필요해. 금화만이 내 마법을 쓸 만큼 뜨겁고 깨끗하게 타거든.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87399,Dialog,SMITH,"""Behold a master at work.""","""명장의 작업을 지켜봐.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87400,Dialog,SMITH,"""Your <CUSTOM9809> already has that property. I'd just be wasting your gold.""","""네 <CUSTOM9809>엔 이미 그 속성이 있어. 금화만 낭비하게 될 거야.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87401,Dialog,SMITH,"""I'm not doing this out of greed. I need the gold to fuel my magical furnace. Gold makes the enchanted fires burn clean and hot. Without the gold I can't forge or upgrade weapons.""","""욕심 때문에 이러는 게 아냐. 마법 용광로를 가동하려면 금화가 필요해. 금화가 있어야 마법 불꽃이 깨끗하고 뜨겁게 타거든. 금화 없이는 무기를 제작하거나 강화할 수 없어.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
