StrRef,Text,SoundRef,VolumeVariance,PitchVariance
100,For honor and duty!,,0,0
101,Heal me!,,0,0
102,I need assistance - immediately!,,0,0
103,Enemies are in sight.,,0,0
104,Retreat!,,0,0
105,You won't be standing long - trust me.,,0,0
106,Defensive formation around me.,,0,0
107,"Stand your ground.
",,0,0
108,I am... gravely wounded.,,0,0
109,Curses! I am... poisoned.,,0,0
110,My spell did not work!,,0,0
111,What?! My weapon is useless! Gah!,,0,0
112,Come - this way.,,0,0
113,I believe I've found something.,,0,0
114,We should close formation.,,0,0
115,Stand aside.,,0,0
116,Open this before I use my sword on it!,,0,0
117,Let us search this place carefully.,,0,0
118,It is time for a more stealthy approach.,,0,0
119,It shall be.,,0,0
120,I cannot do that.,,0,0
121,It is done.,,0,0
122,Perhaps you think me some pack mule? Think again!,,0,0
123,What is it?,,0,0
124,I greet you.,,0,0
125,Yes.,,0,0
126,No.,,0,0
127,Halt.,,0,0
128,I grow fatigued. We should rest.,,0,0
129,"Perhaps you like doing nothing, but not I. Let's go!",,0,0
130,Farewell.,,0,0
131,I thank you for this,,0,0
132,By the Vigilant One!,,0,0
133,HA!,,0,0
134,I must tell you something.,,0,0
135,A wise idea.,,0,0
136,That is ridiculous!,,0,0
137,Do not tempt my ire... you will regret it.,,0,0
138,Draw your weapons!,,0,0
139,For the Ironeaters!,,0,0
140,My vengeance has only begun!,,0,0
141,You will rue the day you set foot in Illefarn!,,0,0
142,My wounds are great. I need a healer!,,0,0
143,Help me... please!,,0,0
144,Watch out - we've got company ahead.,,0,0
145,Let us withdraw!,,0,0
146,Pfff! Am I supposed to be impressed?,,0,0
147,I need your protection.,,0,0
148,Hold this spot.,,0,0
149,I can't keep this up much longer!,,0,0
150,*Gasp*... Tell my Pa... I fought well...,,0,0
151,Urgh... there is a foul poison in my veins.,,0,0
152,Ack! My spell! I don't believe it...,,0,0
153,By Moradin! No effect?!,,0,0
154,Come with me.,,0,0
155,Well look what I found!,,0,0
156,Everyone stick together.,,0,0
157,Let me through please.,,0,0
158,Can anyone else pick this?,,0,0
159,"There's something odd here, I feel it. Look closely.",,0,0
160,As quiet as a mouse...,,0,0
161,"Yes, I can do that.",,0,0
162,"I'm sorry, I can't.",,0,0
163,All done!,,0,0
164,Ugh... I can't carry no more.,,0,0
165,Aye?,,0,0
166,"Hello, friend.",,0,0
167,Yep.,,0,0
168,Nope.,,0,0
169,We should stop here.,,0,0
170,We Ironeaters are never tired...*yawn*...but I'm ready to rest whenever you are.,,0,0
171,"Hm hm hm... So, can we go yet?",,0,0
172,Fare thee well.,,0,0
173,Thank you.,,0,0
174,Moradin's muttonchops!,,0,0
175,Now that's how it's done!,,0,0
176,I need to speak with you.,,0,0
177,That seems like the right thing to do.,,0,0
178,I... don't like the sound of that.,,0,0
179,I'm tougher than a I look!,,0,0
180,Attack the enemy!,,0,0
181,I'm going to cut you down to size!,,0,0
182,It isn't the size of your sword that matters.,,0,0
183,You want pain? You shall have pain!,,0,0
184,Let me wipe that grin off your face!,,0,0
185,For the righteous!,,0,0
186,"You should not have started this, but I will end it.",,0,0
187,Daggerford shall burn!,,0,0
188,I am your doom!,,0,0
189,I'll cleave you in two!,,0,0
190,Ha! You're a sad excuse for a fighter!,,0,0
